ID: 1 | Depth: 3.41 | Camera Coords: -0.16 | Timestamp: 15.853 sec
ID: 2 | Depth: 3.49 | Camera Coords: 0.95 | Timestamp: 15.853 sec
ID: 1 | Depth: 3.73 | Camera Coords: -0.06 | Timestamp: 15.97 sec
ID: 2 | Depth: 3.37 | Camera Coords: 1.04 | Timestamp: 15.97 sec
ID: 1 | Depth: 3.85 | Camera Coords: -0.07 | Timestamp: 16.087 sec
ID: 2 | Depth: 3.15 | Camera Coords: 0.94 | Timestamp: 16.087 sec
ID: 1 | Depth: 3.45 | Camera Coords: -0.11 | Timestamp: 16.204 sec
ID: 2 | Depth: 3.19 | Camera Coords: 0.91 | Timestamp: 16.203 sec
ID: 1 | Depth: 3.8 | Camera Coords: -0.12 | Timestamp: 16.32 sec
ID: 2 | Depth: 3.15 | Camera Coords: 0.85 | Timestamp: 16.32 sec
ID: 1 | Depth: 2.81 | Camera Coords: 0.92 | Timestamp: 16.551 sec
ID: 1 | Depth: 3.96 | Camera Coords: 0.12 | Timestamp: 16.667 sec
ID: 2 | Depth: 2.61 | Camera Coords: 0.82 | Timestamp: 16.667 sec
ID: 1 | Depth: 4.33 | Camera Coords: 0.04 | Timestamp: 16.898 sec
ID: 1 | Depth: 4.12 | Camera Coords: 0.02 | Timestamp: 17.014 sec
ID: 1 | Depth: 3.66 | Camera Coords: 0.00 | Timestamp: 17.13 sec
ID: 1 | Depth: 3.85 | Camera Coords: -0.02 | Timestamp: 17.246 sec
ID: 1 | Depth: 2.44 | Camera Coords: 0.96 | Timestamp: 17.705 sec
ID: 1 | Depth: 2.48 | Camera Coords: 0.95 | Timestamp: 17.821 sec
ID: 1 | Depth: 3.35 | Camera Coords: -0.02 | Timestamp: 17.938 sec
ID: 2 | Depth: 2.62 | Camera Coords: 1.00 | Timestamp: 17.938 sec
ID: 1 | Depth: 2.5 | Camera Coords: 0.94 | Timestamp: 18.055 sec
ID: 1 | Depth: 2.32 | Camera Coords: 0.88 | Timestamp: 18.286 sec
ID: 1 | Depth: 3.9 | Camera Coords: 0.36 | Timestamp: 18.402 sec
ID: 2 | Depth: 2.33 | Camera Coords: 0.87 | Timestamp: 18.402 sec
ID: 1 | Depth: 3.73 | Camera Coords: 0.34 | Timestamp: 18.633 sec
ID: 1 | Depth: 3.53 | Camera Coords: 0.32 | Timestamp: 18.749 sec
ID: 1 | Depth: 3.85 | Camera Coords: 0.35 | Timestamp: 18.867 sec
ID: 1 | Depth: 3.8 | Camera Coords: 0.91 | Timestamp: 19.44 sec
ID: 1 | Depth: 2.51 | Camera Coords: -0.26 | Timestamp: 19.557 sec
ID: 1 | Depth: 2.44 | Camera Coords: -0.23 | Timestamp: 19.674 sec
ID: 1 | Depth: 2.99 | Camera Coords: 1.22 | Timestamp: 20.589 sec
ID: 1 | Depth: 2.66 | Camera Coords: -0.08 | Timestamp: 20.704 sec
ID: 1 | Depth: 3.33 | Camera Coords: 1.33 | Timestamp: 20.821 sec
ID: 1 | Depth: 3.24 | Camera Coords: 0.29 | Timestamp: 21.392 sec
ID: 1 | Depth: 3.26 | Camera Coords: 1.29 | Timestamp: 21.851 sec
ID: 1 | Depth: 3.1 | Camera Coords: 1.24 | Timestamp: 21.967 sec
ID: 1 | Depth: 4.33 | Camera Coords: 0.54 | Timestamp: 22.653 sec
ID: 1 | Depth: 2.62 | Camera Coords: 1.10 | Timestamp: 22.769 sec
ID: 1 | Depth: 4.24 | Camera Coords: 0.54 | Timestamp: 22.885 sec
ID: 1 | Depth: 4.37 | Camera Coords: 0.55 | Timestamp: 23.001 sec
ID: 1 | Depth: 4.07 | Camera Coords: 0.52 | Timestamp: 23.117 sec
ID: 1 | Depth: 4.09 | Camera Coords: 0.52 | Timestamp: 23.233 sec
ID: 1 | Depth: 4.04 | Camera Coords: 0.51 | Timestamp: 23.35 sec
ID: 2 | Depth: 2.56 | Camera Coords: 1.02 | Timestamp: 23.349 sec
ID: 1 | Depth: 4.21 | Camera Coords: 0.54 | Timestamp: 23.468 sec
ID: 1 | Depth: 4.3 | Camera Coords: 0.54 | Timestamp: 23.584 sec
ID: 1 | Depth: 2.51 | Camera Coords: 1.04 | Timestamp: 23.928 sec
ID: 1 | Depth: 4.04 | Camera Coords: 0.86 | Timestamp: 24.045 sec
